epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,5346.15,0.93853,0.63823,1.1555,0.8769,0.84905,0.89803,0.61707,1.23634,0.60025,1.32805,0.0009072,0.0009072,0.0009072
157,5481.54,0.94204,0.63717,1.15905,0.87715,0.84867,0.89791,0.61733,1.23592,0.5997,1.32755,0.00090144,0.00090144,0.00090144
158,5617.86,0.93553,0.63631,1.15746,0.87965,0.84682,0.89829,0.61762,1.23563,0.5991,1.32704,0.00089568,0.00089568,0.00089568
159,5753.21,0.93995,0.63454,1.15479,0.87939,0.84783,0.8985,0.61801,1.23545,0.59871,1.32662,0.00088992,0.00088992,0.00088992
160,5889.4,0.93747,0.63497,1.15671,0.88039,0.84792,0.89866,0.61804,1.23518,0.59854,1.32631,0.00088416,0.00088416,0.00088416
161,6025.05,0.94102,0.6336,1.15801,0.87888,0.84884,0.8983,0.61801,1.23532,0.59837,1.32626,0.0008784,0.0008784,0.0008784
162,6160.82,0.93846,0.6335,1.16025,0.87978,0.84849,0.89855,0.61829,1.23549,0.59757,1.32634,0.00087264,0.00087264,0.00087264
163,6296.59,0.93244,0.63144,1.15633,0.88146,0.84743,0.89842,0.61777,1.23561,0.59754,1.32625,0.00086688,0.00086688,0.00086688
164,6433.64,0.93265,0.6306,1.15233,0.87983,0.84805,0.89837,0.61758,1.23578,0.59688,1.32619,0.00086112,0.00086112,0.00086112
165,6570.08,0.93749,0.63112,1.15113,0.88011,0.8487,0.89858,0.61797,1.23591,0.5966,1.32603,0.00085536,0.00085536,0.00085536
166,6705.3,0.93469,0.63201,1.15597,0.87798,0.85146,0.89936,0.61915,1.23571,0.59595,1.32582,0.0008496,0.0008496,0.0008496
167,6838.34,0.93735,0.63482,1.1541,0.87725,0.85231,0.89957,0.61957,1.23557,0.59581,1.32557,0.00084384,0.00084384,0.00084384
168,6973.74,0.93637,0.62826,1.15444,0.87705,0.85391,0.89965,0.6197,1.23525,0.59553,1.32547,0.00083808,0.00083808,0.00083808
169,7112.06,0.93753,0.63308,1.15499,0.87653,0.85378,0.89942,0.61952,1.23515,0.59512,1.32528,0.00083232,0.00083232,0.00083232
170,7248.15,0.9317,0.62579,1.15077,0.8772,0.85442,0.89977,0.61986,1.23513,0.59498,1.32512,0.00082656,0.00082656,0.00082656
171,7385.56,0.92754,0.62694,1.14603,0.87686,0.85457,0.89991,0.61996,1.2347,0.5945,1.32459,0.0008208,0.0008208,0.0008208
172,7522.17,0.9321,0.62548,1.15459,0.87561,0.85526,0.90021,0.62026,1.23449,0.59404,1.32418,0.00081504,0.00081504,0.00081504
173,7659.66,0.93372,0.63004,1.15301,0.87695,0.85491,0.90009,0.62027,1.23415,0.59375,1.3238,0.00080928,0.00080928,0.00080928
174,7797.12,0.93251,0.62307,1.15026,0.87601,0.85556,0.9001,0.62064,1.23355,0.59336,1.3233,0.00080352,0.00080352,0.00080352
175,7934.1,0.93476,0.62506,1.14937,0.87618,0.85504,0.90015,0.62076,1.2336,0.59292,1.32315,0.00079776,0.00079776,0.00079776
176,138.771,0.89353,0.5997,1.1377,0.87522,0.8555,0.90019,0.62063,1.23373,0.59304,1.32341,0.000792,0.000792,0.000792
177,278.778,0.89956,0.59968,1.13573,0.8767,0.85477,0.90036,0.62069,1.23368,0.59296,1.32341,0.00078624,0.00078624,0.00078624
178,416.336,0.91137,0.60414,1.14525,0.87769,0.85582,0.9005,0.62,1.23395,0.59295,1.32371,0.00078048,0.00078048,0.00078048
179,554.656,0.90209,0.60114,1.13672,0.8757,0.85718,0.90014,0.62001,1.2338,0.59296,1.32395,0.00077472,0.00077472,0.00077472
